sample,mean_parse_height,num_parses,type,length
t36,,,negative,1
t66,,,negative,1
t97,,,negative,1
t62,,,negative,1
t67,,,negative,1
t89,,,negative,1
t58,,,negative,1
t69,,,negative,1
t14,,,negative,1
t61,,,negative,1
t4 t85,,,negative,2
t63 t25,,,negative,2
t90 t9,,,negative,2
t59 t92,,,negative,2
t4 t68,,,negative,2
t78 t58,,,negative,2
t63 t47,,,negative,2
t54 t30,,,negative,2
t0 t51,,,negative,2
t78 t26,,,negative,2
t41 t31 t4,4.0,1.0,positive,3
t41 t31 t83,4.0,1.0,positive,3
t41 t31 t93,4.0,1.0,positive,3
t78 t70 t14,,,negative,3
t52 t91 t36,,,negative,3
t31 t5 t30,,,negative,3
t60 t25 t52,,,negative,3
t96 t39 t77,,,negative,3
t28 t27 t92,,,negative,3
t22 t40 t74,,,negative,3
t9 t14 t42,,,negative,3
t34 t78 t77,,,negative,3
t25 t22 t25,,,negative,3
t41 t34 t50 t93,5.0,1.0,positive,4
t41 t23 t92 t83,5.0,1.0,positive,4
t41 t23 t92 t4,5.0,1.0,positive,4
t41 t34 t92 t4,5.0,1.0,positive,4
t41 t34 t92 t93,5.0,1.0,positive,4
t41 t34 t50 t83,5.0,1.0,positive,4
t41 t23 t50 t4,5.0,1.0,positive,4
t41 t23 t50 t93,5.0,1.0,positive,4
t41 t34 t92 t83,5.0,1.0,positive,4
t41 t34 t50 t4,5.0,1.0,positive,4
t23 t46 t62 t27,,,negative,4
t12 t91 t40 t46,,,negative,4
t14 t51 t27 t54,,,negative,4
t30 t93 t16 t77,,,negative,4
t63 t45 t58 t96,,,negative,4
t65 t85 t63 t15,,,negative,4
t62 t65 t59 t99,,,negative,4
t47 t8 t87 t41,,,negative,4
t4 t52 t66 t6,,,negative,4
t39 t83 t74 t92,,,negative,4
t41 t34 t59 t16 t83,6.0,1.0,positive,5
t41 t34 t59 t16 t4,6.0,1.0,positive,5
t41 t34 t92 t27 t4,6.0,1.0,positive,5
t41 t23 t50 t27 t93,6.0,1.0,positive,5
t41 t34 t51 t16 t83,6.0,1.0,positive,5
t41 t34 t51 t50 t83,6.0,1.0,positive,5
t41 t23 t50 t27 t83,6.0,1.0,positive,5
t41 t23 t50 t27 t4,6.0,1.0,positive,5
t41 t23 t59 t16 t4,6.0,1.0,positive,5
t41 t34 t51 t16 t4,6.0,1.0,positive,5
t2 t30 t99 t19 t68,,,negative,5
t49 t28 t11 t4 t78,,,negative,5
t43 t53 t74 t18 t91,,,negative,5
t87 t99 t58 t82 t2,,,negative,5
t83 t49 t95 t49 t46,,,negative,5
t39 t99 t14 t61 t6,,,negative,5
t77 t61 t30 t58 t86,,,negative,5
t2 t64 t52 t53 t77,,,negative,5
t36 t29 t19 t85 t41,,,negative,5
t22 t92 t82 t0 t63,,,negative,5
t41 t23 t92 t27 t27 t93,7.0,1.0,positive,6
t41 t31 t29 t30 t71 t40,7.0,1.0,positive,6
t41 t23 t51 t16 t27 t93,7.0,1.0,positive,6
t41 t31 t29 t85 t14 t4,7.0,1.0,positive,6
t41 t23 t59 t16 t27 t4,7.0,1.0,positive,6
t41 t23 t61 t16 t27 t93,7.0,1.0,positive,6
t41 t23 t92 t29 t85 t9,6.0,1.0,positive,6
t41 t34 t61 t16 t27 t83,7.0,1.0,positive,6
t41 t23 t51 t50 t27 t83,7.0,1.0,positive,6
t41 t23 t50 t29 t85 t9,6.0,1.0,positive,6
t89 t97 t45 t63 t93 t46,,,negative,6
t28 t68 t93 t65 t60 t83,,,negative,6
t83 t52 t16 t53 t36 t43,,,negative,6
t97 t47 t83 t34 t23 t63,,,negative,6
t34 t51 t47 t63 t8 t22,,,negative,6
t85 t60 t82 t36 t25 t27,,,negative,6
t11 t97 t0 t91 t86 t90,,,negative,6
t87 t77 t66 t85 t19 t59,,,negative,6
t99 t65 t22 t53 t69 t95,,,negative,6
t87 t61 t28 t60 t43 t97,,,negative,6
t41 t34 t51 t50 t27 t27 t4,8.0,1.0,positive,7
t41 t34 t92 t59 t12 t97 t4,8.0,1.0,positive,7
t41 t34 t59 t59 t31 t93 t4,8.0,1.0,positive,7
